"node_id"	"level1_id"	"level1_name"	"level2_id"	"level2_name"	"level3_id"	"level3_name"	"level4_id"	"level4_name"	"level5_id"	"level5_name"	"full_path"
"141655"	"1"	"FUCTIONAL TESTING"	"141655"	"TBD"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"N/A"	"FUCTIONAL TESTING > TBD"
"141656"	"1"	"FUCTIONAL TESTING"	"141655"	"TBD"	"141656"	"LENDING"	"N/A"	"N/A"	"N/A"	"N/A"	"FUCTIONAL TESTING > TBD > LENDING"
"141657"	"1"	"FUCTIONAL TESTING"	"106589"	"CYCLE 2"	"123081"	"CRITICAL TEST CASES"	"141657"	"CASA"	"N/A"	"N/A"	"FUCTIONAL TESTING > CYCLE 2 > CRITICAL TEST CASES > CASA"
"141658"	"1"	"FUCTIONAL TESTING"	"106589"	"CYCLE 2"	"123081"	"CRITICAL TEST CASES"	"141657"	"CASA"	"141658"	"LQM"	"FUCTIONAL TESTING > CYCLE 2 > CRITICAL TEST CASES > CASA > LQM"
"141711"	"1"	"FUCTIONAL TESTING"	"106589"	"CYCLE 2"	"141711"	"TRADE & TREASURY"	"N/A"	"N/A"	"N/A"	"N/A"	"FUCTIONAL TESTING > CYCLE 2 > TRADE & TREASURY"
"141712"	"1"	"FUCTIONAL TESTING"	"106589"	"CYCLE 2"	"141711"	"TRADE & TREASURY"	"141712"	"OBSCF"	"N/A"	"N/A"	"FUCTIONAL TESTING > CYCLE 2 > TRADE & TREASURY > OBSCF"
"141713"	"1"	"FUCTIONAL TESTING"	"106589"	"CYCLE 2"	"123081"	"CRITICAL TEST CASES"	"141657"	"CASA"	"141713"	"CASA"	"FUCTIONAL TESTING > CYCLE 2 > CRITICAL TEST CASES > CASA > CASA"
"143236"	"1"	"FUCTIONAL TESTING"	"106589"	"CYCLE 2"	"123081"	"CRITICAL TEST CASES"	"141657"	"CASA"	"143236"	"TD"	"FUCTIONAL TESTING > CYCLE 2 > CRITICAL TEST CASES > CASA > TD"
"143791"	"1"	"FUCTIONAL TESTING"	"106589"	"CYCLE 2"	"143791"	"RELEASED CUSTOMIZATION"	"N/A"	"N/A"	"N/A"	"N/A"	"FUCTIONAL TESTING > CYCLE 2 > RELEASED CUSTOMIZATION"
"143792"	"1"	"FUCTIONAL TESTING"	"106589"	"CYCLE 2"	"143791"	"RELEASED CUSTOMIZATION"	"143792"	"CUST_BRANCH & COPs MGT"	"N/A"	"N/A"	"FUCTIONAL TESTING > CYCLE 2 > RELEASED CUSTOMIZATION > CUST_BRANCH & COPs MGT"
"143793"	"1"	"FUCTIONAL TESTING"	"106589"	"CYCLE 2"	"143791"	"RELEASED CUSTOMIZATION"	"143792"	"CUST_BRANCH & COPs MGT"	"143793"	"FX CHARGES"	"FUCTIONAL TESTING > CYCLE 2 > RELEASED CUSTOMIZATION > CUST_BRANCH & COPs MGT > FX CHARGES"
"143794"	"1"	"FUCTIONAL TESTING"	"106589"	"CYCLE 2"	"143791"	"RELEASED CUSTOMIZATION"	"143792"	"CUST_BRANCH & COPs MGT"	"143794"	"TXN LIMITS"	"FUCTIONAL TESTING > CYCLE 2 > RELEASED CUSTOMIZATION > CUST_BRANCH & COPs MGT > TXN LIMITS"
"144007"	"1"	"FUCTIONAL TESTING"	"106589"	"CYCLE 2"	"143791"	"RELEASED CUSTOMIZATION"	"144007"	"CUST_LENDING"	"N/A"	"N/A"	"FUCTIONAL TESTING > CYCLE 2 > RELEASED CUSTOMIZATION > CUST_LENDING"
"144008"	"1"	"FUCTIONAL TESTING"	"106589"	"CYCLE 2"	"143791"	"RELEASED CUSTOMIZATION"	"144007"	"CUST_LENDING"	"144008"	"ADVANCE LOAN"	"FUCTIONAL TESTING > CYCLE 2 > RELEASED CUSTOMIZATION > CUST_LENDING > ADVANCE LOAN"
"145409"	"1"	"FUCTIONAL TESTING"	"106589"	"CYCLE 2"	"106611"	"REPORTS & NOTIFICATIONS"	"145409"	"RN_BRANCH & COPs MGT"	"N/A"	"N/A"	"FUCTIONAL TESTING > CYCLE 2 > REPORTS & NOTIFICATIONS > RN_BRANCH & COPs MGT"
"146972"	"1"	"FUCTIONAL TESTING"	"106589"	"CYCLE 2"	"146972"	"CUSTOMER EXPERIENCE"	"N/A"	"N/A"	"N/A"	"N/A"	"FUCTIONAL TESTING > CYCLE 2 > CUSTOMER EXPERIENCE"
